datetime_est,ulid,event_ulid,news_batch_size,news_batch_summary,news_sentiment,news_sentiment_intensity,news_sentiment_explanation,news_dominant_sentiment,next_news_prediction,fg_label,fg_score,fg_key_factors,price_change,price_change_pct,price_change_anomaly,volume_normalized,volume_zscore,volume_percentile,volume_anomaly,volatility_10,volatility_30,volatility_60,volatility_anomaly,rsi,ema_7,ema_14,ema_50,ema_200,macd,macd_signal,bollinger_upper,bollinger_lower,atr_14
2025-02-24 00:00:00,"['2025-02-641391899', '8561773643', '8561774599']","['eng-10368157', 'deu-1912969', 'spa-3764398']",3,"HK Asia Holdings Limited has approved further Bitcoin investments, increasing its holdings to nearly 9 BTC after experiencing a surge in share prices; meanwhile, Bitcoin struggles to break the $100,000 mark amid market volatility and mixed investor sentiment regarding its status as a safe haven compared to gold.","['Uncertainty', 'Caution', 'Skepticism']",6.0,"The average retail investor is likely to feel uncertain and overwhelmed by mixed signals regarding Bitcoin's price movements and its status as a potential safe haven compared to gold. The volatility and recent attempts to breach significant price levels can lead to hesitation in decision-making, as they struggle to reconcile the optimistic forecasts from some analysts with the cautious outlook presented by others.",CONFUSION,none,Fear,40.0,"['Bitcoin price remains under the psychologically important $100,000 level, indicating market uncertainty and resistance.', ""Recent volatility in Bitcoin's price and the inability to maintain upward momentum create caution among investors."", 'Expert commentary highlights mixed signals in technical indicators and the potential for further declines, suggesting a risk-off sentiment.']",101.49,0.11,False,0.02,-0.41,0.41,False,0.0015417694483521075,0.0013037040385440982,0.0011615971691404418,False,41.33,95439.37,95559.95,95803.44,96089.03,-175.14,-140.9,96280.68,95138.45,923.6900000000023
2025-02-24 00:20:00,"['8561793412', '8561794879']","['eng-10368269', nan]",2,"Montana's House rejected a bill to invest public funds in Bitcoin, joining states like North Dakota and Wyoming in halting Bitcoin reserve initiatives, while other states advance proposals for crypto integration, as Bitcoin and other cryptocurrencies face upcoming volatility from token unlocks.","['Caution', 'Uncertainty', 'Concern']",5.0,"The retail investor may feel uncertain due to mixed signals surrounding Bitcoin's legislative challenges and potential growth opportunities in other states, leading to hesitation about whether to invest or divest. This cognitive dissonance can result in a strong emotional response where investors are unsure of the best course of action.",CONFUSION,none,Fear,35.0,"[""Montana's rejection of Bitcoin reserve legislation indicates a cautious approach to cryptocurrency investment."", 'Increased volatility expected due to upcoming token unlocks for Optimism and Sui, suggesting uncertainty in the market.', 'Recent price declines in Bitcoin and other cryptocurrencies reflect cautious investor sentiment.']",16.95,0.02,False,0.01,-0.71,0.07,False,0.001493854952028044,0.0013214942155087177,0.0011625244841675147,False,44.9,95479.84,95552.81,95782.48,96077.98,-149.39,-146.05,96165.07,95141.56,695.6000000000058
2025-02-24 00:30:00,"['8561799716', '8561799717', '8561799719', '8561804398']","['eng-10363795', 'eng-10364253', 'eng-10364253', nan]",4,"Investors are closely watching Lightchain AI (LCAI), which has raised $16.6 million in presale and is positioned to potentially outpace Cardano (ADA) by 2025 due to its AI-driven blockchain solutions, while the overall crypto market faces price declines amidst caution among traders.","['Caution', 'Uncertainty', 'Pessimism']",5.0,"The average retail investor may feel uncertain and overwhelmed by the mixed signals presented in the news. On one hand, there's excitement about emerging projects like Lightchain AI potentially outpacing established players like Cardano, but there's also concern stemming from recent price drops in major cryptocurrencies, coupled with the volatility in the broader market. This combination can lead to indecision and mixed emotions about whether to invest or hold.",CONFUSION,none,Fear,40.0,"[""Cardano's 13% price drop over the past week indicates declining investor confidence."", 'General market caution with Bitcoin and other major cryptocurrencies experiencing declines.', 'Increased trading volatility and significant liquidations ($191 million in the past 24 hours) highlight risk-off sentiment.']",211.96,0.22,False,0.02,-0.47,0.35,False,0.001534066293868264,0.0013799847272230833,0.0011986759806045814,False,52.03,95547.65,95579.25,95781.25,96074.72,-120.51,-140.94,96119.32,95158.09,675.7100000000064
2025-02-24 00:40:00,"['8561809493', '8561812561', '8561815190']","[nan, 'eng-10368121', nan]",3,"Bitcoin's price remains under $100,000 amid significant buying interest creating a strong support base, while upcoming token unlocks for Optimism and Sui could increase market volatility, leading analysts to predict mixed outcomes for Bitcoin's trajectory in the near future.","['Caution', 'Indecision', 'Slight optimism']",6.0,"The average retail investor is likely to feel uncertain and overwhelmed by the mixed signals regarding Bitcoin's price movements and the upcoming token unlocks for Sui and Optimism. This confusion may lead to indecision about when to buy or sell, causing them to hold off on actions until clearer trends emerge.",CONFUSION,none,Neutral,54.0,"['Recent volatility in Bitcoin and altcoins, with mixed performance metrics.', 'Analysts divided on future price movements, indicating uncertainty.', 'Strong support bases forming for Bitcoin but resistance levels remain a concern.']",-23.36,-0.02,False,0.01,-0.66,0.14,False,0.0014846872271291646,0.00134128327123394,0.0011948462340288482,False,51.24,95592.68,95599.05,95779.15,96071.27,-98.37,-132.43,96076.78,95173.22,675.7100000000064
2025-02-24 00:50:00,['8561817475'],['eng-10369440'],1,"Bitcoin dipped below $96,000 to $95,425.16 amid a 24-hour loss of nearly 1%, following a significant $1.4 billion crypto hack, while altcoins like Ethereum, Solana, and XRP also faced losses, though the market showed resilience with some tokens like the Story (IP) token gaining over 63%.","['Caution', 'Uncertainty', 'Pessimism']",6.0,"The average retail investor is likely to feel anxious and concerned about the recent dip in Bitcoin's price and the impact of the significant hack on the market. This fear may lead them to consider selling their holdings to minimize potential losses, driven by a desire to reduce risk amid uncertainty.",FEAR,none,Fear,42.0,"['Bitcoin dipped below $96,000 after reaching nearly $100,000, indicating selling pressure.', 'The recent $1.4 billion crypto hack has caused mass withdrawals, creating uncertainty.', 'Expert commentary suggests potential bearish implications for Bitcoin and volatility ahead.']",53.62,0.06,False,0.01,-0.62,0.18,False,0.0013939419942938722,0.0013216195309919067,0.001196816751014568,False,53.0,95639.85,95623.36,95779.24,96068.39,-75.63,-121.07,96014.0,95205.48,675.7100000000064
2025-02-24 01:00:00,"['8561829832', '8561830391', '8561833609']","[nan, 'eng-10369440', 'eng-10368648']",3,"The cryptocurrency market faced downturns last week, with Bitcoin and major altcoins declining, while lesser-known tokens like IP and S surged by 138% and 58%, respectively, amidst a significant ETH hack, while MicroStrategy continued its aggressive Bitcoin acquisitions, purchasing over $742 million worth, bolstered by institutional support and state pension fund investments.","['Concern', 'Pessimism', 'Caution']",7.0,"The news highlights significant gains in lesser-known cryptocurrencies, which can trigger FOMO among retail investors who fear missing out on potential profits. The emotional excitement surrounding the rapid rise of the IP token, coupled with the general downturn in more established coins, may lead investors to take impulsive buying actions in hopes of capitalizing on the next big opportunity.",FOMO,none,Fear,35.0,"['Overall contraction of the cryptocurrency market capitalization by 1.8%', 'Significant declines in major cryptocurrencies like Bitcoin and Ethereum, alongside large-cap coins like Solana and Cardano', 'Market sentiment negatively impacted by a high-profile $1.4 billion ETH hack', 'Mixed performance with some tokens experiencing significant gains while others faced losses, indicating uncertainty']",-14.71,-0.02,False,0.01,-0.76,0.03,False,0.0013063862446896553,0.001321495904914138,0.001194794594984185,False,52.44,95671.55,95642.46,95778.75,96065.38,-58.13,-108.48,95955.11,95237.06,665.3899999999994
2025-02-24 01:10:00,['8561845179'],[nan],1,"Bitcoin struggles to maintain gains above $95,000 amid high volatility in the cryptocurrency market, with significant price corrections seen across major assets like Ethereum, XRP, Solana, Cardano, Dogecoin, and Shiba Inu, influenced by macroeconomic factors and regulatory developments.","['Concern', 'Caution', 'Uncertainty']",6.0,"Retail investors are likely feeling anxious and worried as they see major cryptocurrencies struggling and facing volatility. The inability of Bitcoin to maintain its price above $100,000 may trigger defensive positioning, leading some investors to consider selling to mitigate potential losses.",FEAR,none,Fear,40.0,"['High volatility in the cryptocurrency market', 'Significant price corrections across major digital assets', ""Concerns regarding Bitcoin's inability to maintain gains above $100,000"", 'Influence of macroeconomic factors and regulatory developments']",-87.29,-0.09,False,0.01,-0.69,0.1,False,0.001190894601822696,0.001326419677318768,0.0011978769127788413,False,49.13,95673.5,95647.38,95774.85,96061.54,-50.71,-96.93,95924.41,95248.67,665.3899999999994
2025-02-24 01:20:00,"['8561847589', '8561851826', 'p-8561849812']","['eng-10369440', 'eng-10368403', nan]",3,"Bitcoin experienced price fluctuations, briefly reaching $99,500 before falling below $95,000 due to a $1.4 billion crypto hack, but optimism remains high ahead of its halving event, with increased trading activity and institutional interest hinting at potential market recovery.","['Caution', 'Optimism', 'Uncertainty']",6.0,"The news highlights significant volatility, including a large hack that prompted investor withdrawals, which would likely instill caution and concern among retail investors. While there is some optimism surrounding Bitcoin's future, the immediate fear of losses and market instability may drive many to consider reducing their exposure or adopting a more defensive strategy.",FEAR,none,Neutral,40.0,"[""High volatility in Bitcoin's price following a major hack, leading to mixed sentiment among investors."", 'Despite a dip in the overall crypto market cap, there is increased trading volume indicating sustained interest.', 'Upcoming events like the Bitcoin halving are creating optimism, but uncertainty remains due to market turbulence.']",52.87,0.06,False,0.01,-0.65,0.14,False,0.000988318723734011,0.0013269342338797264,0.0011998047678015353,False,51.14,95688.18,95658.7,95773.18,96058.27,-40.11,-85.56,95909.14,95255.06,665.3899999999994
2025-02-24 01:30:00,"['8561860048', '8561861966']","['eng-10366558', 'eng-10368053']",2,"Investors are eyeing potential opportunities in the crypto market, particularly with the emergence of AI-driven PepeGPT as a standout investment amid established players Stellar and Hedera, while Bitcoin's recent low volatility signals a possible upcoming price rally influenced by institutional accumulation and regulatory shifts.","['Optimism', 'Excitement', 'Confidence']",8.0,"The combination of a presale opportunity for a seemingly innovative project like PepeGPT, along with the potential for a Bitcoin rally, is likely to create a sense of urgency and excitement among retail investors. The fear of missing out on early investment in a promising crypto project and the anticipation of price movements in Bitcoin can lead to impulsive buying behavior.",FOMO,none,Greed,65.0,"['Emergence of PepeGPT as a standout investment with AI-driven strategies attracting investor attention.', 'Institutional accumulation and favorable regulatory shifts suggesting a potential Bitcoin rally.', 'Low volatility in Bitcoin historically indicating upcoming significant price movements, creating a bullish sentiment.']",103.09,0.11,False,0.01,-0.69,0.1,False,0.00087024947244525,0.0013393534542650227,0.0012076301066820912,False,54.89,95724.97,95682.25,95775.61,96056.05,-23.12,-73.07,95920.94,95249.46,686.0899999999965
2025-02-24 01:40:00,"['2025-02-641457720', '8561878791']","['spa-3763838', nan]",2,"Analistas de inversiones sugieren que Bitcoin podría alcanzar los 200,000 dólares a finales de 2025 debido a un entorno regulatorio favorable y la posible creación de una reserva estratégica de Bitcoin bajo la administración de Trump, mientras que el precio actual de Bitcoin y otras criptomonedas ha registrado pérdidas tras un hackeo significativo.","['Optimism', 'Excitement', 'Confidence']",6.0,"The news presents both optimistic projections for Bitcoin's future and immediate negative sentiment due to recent losses and a major hack, leading to uncertainty and mixed feelings among retail investors. This duality may cause them to feel torn between excitement for potential gains and apprehension over current losses.",CONFUSION,none,Greed,68.0,"['Optimistic forecasts for Bitcoin reaching $200,000 due to institutional investment and favorable regulatory environment.', ""Potential government initiatives under Trump's administration to promote cryptocurrency."", 'Innovative developments in the crypto space, including the introduction of Bitcoin Bull and advancements in blockchain technology.']",36.69,0.04,False,0.02,-0.52,0.29,False,0.0008493409091633563,0.0012709418450170932,0.0012071508526798132,False,56.17,95761.73,95707.55,95779.39,96054.22,-6.62,-59.78,95959.25,95240.6,794.8500000000058
